"S.N","Scrip","Current Balance","Previous Closing Price","Value as of Previous Closing Price","Last Transaction Price (LTP)","Value as of LTP"
"1","ACLBSL","13.0","945.0","12285.00","949.0","12337.00"
"2","CBBL","12.0","851.8","10221.60","859.0","10308.00"
"3","CLI","10.0","458.0","4580.00","482.0","4820.00"
"4","HBL","2.0","175.6","351.20","181.9","363.80"
"5","HRL","20.0","556.6","11132.00","581.2","11624.00"
"6","IHL","30.0","389.9","11697.00","389.1","11673.00"
"7","ILI","20.0","539.0","10780.00","562.0","11240.00"
"8","MEL","10.0","227.7","2277.00","227.0","2270.00"
"9","MKLB","12.0","1159.9","13918.80","1201.0","14412.00"
"10","NFS","22.0","519.5","11429.00","512.2","11268.40"
"11","NIBLSF","1190.0","10.11","12030.90","10.11","12030.90"
"12","NICL","35.0","826.0","28910.00","860.0","30100.00"
"13","NWCL","10.0","735.4","7354.00","732.0","7320.00"
"14","PHCL","10.0","287.3","2873.00","292.0","2920.00"
"15","RSDC","20.0","712.0","14240.00","704.9","14098.00"
"16","SONA","10.0","446.2","4462.00","460.0","4600.00"
"17","SPL","10.0","661.0","6610.00","675.0","6750.00"
"Total :"," "," "," ","165151.50"," ","168135.10"
